state0,state1,rate,N
"E16","Esame2",0,0
"E16","Esame20",0,0
"E16","Esame21",0,0
"E16","Esame22",0,0
"E16","Esame3",0,0
"E16","Esame4",0,0
"E16","Esame5",0,0
"E16","Esame6",0,0
"E16","Esame7",0,0
"E16","Esame8",0,0
"E16","Esame9",0,0
"E16","U1",0,0
"E16","U10",0,0
"E16","U11",0,0
"E16","U12",0,0
"E16","U13",0,0
"E16","U14",0,0
"E16","U15",0,0
"E16","U16",.0087529,757
"E16","U17",0,0
"E16","U18",0,0
"E16","U19",0,0
"E16","U2",0,0
"E16","U20",0,0
"E16","U21",0,0
"E16","U22",0,0
"E16","U3",0,0
"E16","U4",0,0
"E16","U5",0,0
"E16","U6",0,0
"E16","U7",0,0
"E16","U8",0,0
"E16","U9",0,0
"E17","Enew1",.0082578,831
"E17","Enew10",.0026722,269
"E17","Enew11",.001864,188
"E17","Enew12",.0009418,95
"E17","Enew13",.003064,308
"E17","Enew14",.0016992,171
"E17","Enew15",.0027462,276
"E17","Enew16",.0095028,957
"E17","Enew17",.0605057,6100
"E17","Enew18",.0003376,34
"E17","Enew19",.0014435,145
"E17","Enew2",.0056513,570
"E17","Enew20",.0011888,120
"E17","Enew21",.0029871,301
"E17","Enew22",.0047121,474
"E17","Enew3",.0018675,188
"E17","Enew4",.0006785,68
"E17","Enew5",.0003576,36
"E17","Enew6",.0012818,129
"E17","Enew7",.0007729,78
"E17","Enew8",.0023913,241
"E17","Enew9",.0012205,123
"E17","Esame1",0,0
"E17","Esame10",0,0
"E17","Esame11",0,0
"E17","Esame12",0,0
"E17","Esame13",0,0
"E17","Esame14",0,0
"E17","Esame15",0,0
"E17","Esame16",0,0
"E17","Esame17",.8755769,88185
"E17","Esame18",0,0
"E17","Esame19",0,0
"E17","Esame2",0,0
"E17","Esame20",0,0
"E17","Esame21",0,0
"E17","Esame22",0,0
"E17","Esame3",0,0
"E17","Esame4",0,0
"E17","Esame5",0,0
"E17","Esame6",0,0
"E17","Esame7",0,0
"E17","Esame8",0,0
"E17","Esame9",0,0
"E17","U1",0,0
"E17","U10",0,0
"E17","U11",0,0
"E17","U12",0,0
"E17","U13",0,0
"E17","U14",0,0
"E17","U15",0,0
"E17","U16",0,0
"E17","U17",.0082787,835
"E17","U18",0,0
"E17","U19",0,0
"E17","U2",0,0
"E17","U20",0,0
"E17","U21",0,0
"E17","U22",0,0
"E17","U3",0,0
"E17","U4",0,0
"E17","U5",0,0
"E17","U6",0,0
"E17","U7",0,0
"E17","U8",0,0
"E17","U9",0,0
"E18","Enew1",.0108335,76
"E18","Enew10",.0004647,3
"E18","Enew11",.000133,1
"E18","Enew12",.0013114,10
"E18","Enew13",.0029087,21
"E18","Enew14",.0067088,47
"E18","Enew15",.0024388,17
"E18","Enew16",.0034591,25
"E18","Enew17",.0045545,32
"E18","Enew18",.0746704,534
"E18","Enew19",.0072374,52
"E18","Enew2",.0008612,6
"E18","Enew20",.0018991,13
"E18","Enew21",.0077445,54
"E18","Enew22",.0107236,75
"E18","Enew3",.0001474,1
"E18","Enew4",.0009532,7
"E18","Enew5",.0010153,7
"E18","Enew6",.0001403,1
"E18","Enew7",0,0
"E18","Enew8",.0002779,2
"E18","Enew9",.0007297,5
"E18","Esame1",0,0
"E18","Esame10",0,0
"E18","Esame11",0,0
"E18","Esame12",0,0
"E18","Esame13",0,0
"E18","Esame14",0,0
"E18","Esame15",0,0
"E18","Esame16",0,0
"E18","Esame17",0,0
"E18","Esame18",.8346121,5916
"E18","Esame19",0,0
"E18","Esame2",0,0
"E18","Esame20",0,0
"E18","Esame21",0,0
"E18","Esame22",0,0
"E18","Esame3",0,0
"E18","Esame4",0,0
"E18","Esame5",0,0
"E18","Esame6",0,0
"E18","Esame7",0,0
"E18","Esame8",0,0
"E18","Esame9",0,0
"E18","U1",0,0
"E18","U10",0,0
"E18","U11",0,0
"E18","U12",0,0
"E18","U13",0,0
"E18","U14",0,0
"E18","U15",0,0
"E18","U16",0,0
"E18","U17",0,0
"E18","U18",.0261754,187
"E18","U19",0,0
"E18","U2",0,0
"E18","U20",0,0
"E18","U21",0,0
"E18","U22",0,0
"E18","U3",0,0
"E18","U4",0,0
"E18","U5",0,0
"E18","U6",0,0
"E18","U7",0,0
"E18","U8",0,0
"E18","U9",0,0
"E19","Enew1",.0089759,424
"E19","Enew10",.0005961,28
"E19","Enew11",.0002761,13
"E19","Enew12",.0009939,47
"E19","Enew13",.0026405,125
"E19","Enew14",.0045733,215
"E19","Enew15",.0007653,36
"E19","Enew16",.0034298,162
"E19","Enew17",.0029239,138
"E19","Enew18",.0010381,49
"E19","Enew19",.1059527,4987
"E19","Enew2",.0011687,55
"E19","Enew20",.0058191,274
"E19","Enew21",.0064266,302
"E19","Enew22",.0068181,321
"E19","Enew3",.0003858,18
"E19","Enew4",.0013456,63
"E19","Enew5",.0001691,8
"E19","Enew6",.0001684,8
"E19","Enew7",.0001494,7
"E19","Enew8",.000464,22
"E19","Enew9",.0007643,36
"E19","Esame1",0,0
"E19","Esame10",0,0
"E19","Esame11",0,0
"E19","Esame12",0,0
"E19","Esame13",0,0
"E19","Esame14",0,0
"E19","Esame15",0,0
"E19","Esame16",0,0
"E19","Esame17",0,0
"E19","Esame18",0,0
"E19","Esame19",.8213723,38648
"E19","Esame2",0,0
"E19","Esame20",0,0
"E19","Esame21",0,0
"E19","Esame22",0,0
"E19","Esame3",0,0
"E19","Esame4",0,0
"E19","Esame5",0,0
"E19","Esame6",0,0
"E19","Esame7",0,0
"E19","Esame8",0,0
"E19","Esame9",0,0
"E19","U1",0,0
"E19","U10",0,0
"E19","U11",0,0
"E19","U12",0,0
"E19","U13",0,0
"E19","U14",0,0
"E19","U15",0,0
"E19","U16",0,0
"E19","U17",0,0
"E19","U18",0,0
"E19","U19",.0227831,1069
"E19","U2",0,0
"E19","U20",0,0
"E19","U21",0,0
"E19","U22",0,0
"E19","U3",0,0
"E19","U4",0,0
"E19","U5",0,0
"E19","U6",0,0
"E19","U7",0,0
"E19","U8",0,0
"E19","U9",0,0
"E2","Enew1",.0130225,565
"E2","Enew10",.0022426,97
"E2","Enew11",.0004687,20
"E2","Enew12",.0006719,29
"E2","Enew13",.0011354,49
"E2","Enew14",.0005716,25
"E2","Enew15",.0015948,69
"E2","Enew16",.0069575,302
"E2","Enew17",.0121861,530
"E2","Enew18",.0002104,9
"E2","Enew19",.0012762,55
"E2","Enew2",.0560147,2425
"E2","Enew20",.0006469,28
"E2","Enew21",.0014288,62
"E2","Enew22",.0015328,66
"E2","Enew3",.0036441,158
"E2","Enew4",.0011701,51
"E2","Enew5",.0008061,35
"E2","Enew6",.001358,59
"E2","Enew7",.0011449,50
"E2","Enew8",.0026754,116
"E2","Enew9",.0017292,75
"E2","Esame1",0,0
"E2","Esame10",0,0
"E2","Esame11",0,0
"E2","Esame12",0,0
"E2","Esame13",0,0
"E2","Esame14",0,0
"E2","Esame15",0,0
"E2","Esame16",0,0
"E2","Esame17",0,0
"E2","Esame18",0,0
"E2","Esame19",0,0
"E2","Esame2",.8816558,38235
"E2","Esame20",0,0
"E2","Esame21",0,0
"E2","Esame22",0,0
"E2","Esame3",0,0
"E2","Esame4",0,0
"E2","Esame5",0,0
"E2","Esame6",0,0
"E2","Esame7",0,0
"E2","Esame8",0,0
"E2","Esame9",0,0
"E2","U1",0,0
"E2","U10",0,0
"E2","U11",0,0
"E2","U12",0,0
"E2","U13",0,0
"E2","U14",0,0
"E2","U15",0,0
"E2","U16",0,0
"E2","U17",0,0
"E2","U18",0,0
"E2","U19",0,0
"E2","U2",.0058555,255
"E2","U20",0,0
"E2","U21",0,0
"E2","U22",0,0
"E2","U3",0,0
"E2","U4",0,0
"E2","U5",0,0
"E2","U6",0,0
"E2","U7",0,0
"E2","U8",0,0
"E2","U9",0,0
"E20","Enew1",.0043667,130
"E20","Enew10",.0004025,12
"E20","Enew11",.0003689,11
"E20","Enew12",.0010438,31
"E20","Enew13",.0013193,39
"E20","Enew14",.0045263,134
"E20","Enew15",.0005742,17
"E20","Enew16",.0059784,177
"E20","Enew17",.0033942,101
"E20","Enew18",.0006769,20
"E20","Enew19",.0089449,266
"E20","Enew2",.0008733,26
"E20","Enew20",.0621202,1843
"E20","Enew21",.0052553,156
"E20","Enew22",.0065339,194
"E20","Enew3",.0022766,68
"E20","Enew4",.0020504,61
"E20","Enew5",.0003047,9
"E20","Enew6",.0002328,7
"E20","Enew7",.0001293,4
"E20","Enew8",.0005378,16
"E20","Enew9",.001014,30
"E20","Esame1",0,0
"E20","Esame10",0,0
"E20","Esame11",0,0
"E20","Esame12",0,0
"E20","Esame13",0,0
"E20","Esame14",0,0
"E20","Esame15",0,0
"E20","Esame16",0,0
"E20","Esame17",0,0
"E20","Esame18",0,0
"E20","Esame19",0,0
"E20","Esame2",0,0
"E20","Esame20",.8795794,26110
"E20","Esame21",0,0
"E20","Esame22",0,0
"E20","Esame3",0,0
"E20","Esame4",0,0
"E20","Esame5",0,0
"E20","Esame6",0,0
"E20","Esame7",0,0
"E20","Esame8",0,0
"E20","Esame9",0,0
"E20","U1",0,0
"E20","U10",0,0
"E20","U11",0,0
"E20","U12",0,0
"E20","U13",0,0
"E20","U14",0,0
"E20","U15",0,0
"E20","U16",0,0
"E20","U17",0,0
"E20","U18",0,0
"E20","U19",0,0
"E20","U2",0,0
"E20","U20",.007496,223
"E20","U21",0,0
"E20","U22",0,0
"E20","U3",0,0
"E20","U4",0,0
"E20","U5",0,0
"E20","U6",0,0
"E20","U7",0,0
"E20","U8",0,0
